,dah,PEM2010_INPUT_DTC_ISO_1,PEM2010_INPUT_NP_1,PEM2010_INPUT_RHOB_1,PEM2010_INPUT_RT_1,PEM2010_INPUT_SWE_1,PEM2010_INPUT_SWT_1,PEM2010_INPUT_VCL_1,WELL
7387,3719.5,105.40824,0.44645602,2.495996,0.9235524,1.0,1.0,0.58525294,EBONI-04
7388,3720.0,104.79192,0.45004895,2.496854,0.955318,1.0,1.0,0.58273315,EBONI-04
7389,3720.5,105.73662,0.46733752,2.4898825,0.90778846,1.0,1.0,0.593072,EBONI-04
7390,3721.0,106.662094,0.48093843,2.4864755,0.861678,1.0,1.0,0.601116,EBONI-04
7391,3721.5,106.79578,0.49004945,2.4917343,0.85243434,1.0,1.0,0.5853942,EBONI-04
7392,3722.0,106.712845,0.49565214,2.4966605,0.84704894,1.0,1.0,0.5716337,EBONI-04
7393,3722.5,107.12089,0.46642002,2.49163,0.8266343,1.0,1.0,0.56728524,EBONI-04
7394,3723.0,107.76024,0.45127496,2.4809418,0.817795,1.0,1.0,0.57025206,EBONI-04
7395,3723.5,107.479294,0.44470942,2.4808335,0.84296066,1.0,1.0,0.56984574,EBONI-04
7396,3724.0,107.04547,0.4300279,2.4837582,0.8656068,1.0,1.0,0.56463003,EBONI-04
7397,3724.5,107.04114,0.46330205,2.4873838,0.86147463,1.0,1.0,0.57904255,EBONI-04
7398,3725.0,107.020004,0.483077,2.4844007,0.85191905,1.0,1.0,0.5913961,EBONI-04
7399,3725.5,106.94269,0.47118217,2.481624,0.8506379,1.0,1.0,0.59312516,EBONI-04
7400,3726.0,106.5912,0.4644986,2.4810205,0.85757476,1.0,1.0,0.5780715,EBONI-04
7401,3726.5,106.30505,0.49193898,2.4736626,0.867243,1.0,1.0,0.5719335,EBONI-04
7402,3727.0,106.20509,0.51916635,2.482603,0.8633458,1.0,1.0,0.59238994,EBONI-04
7403,3727.5,106.38258,0.5013248,2.4892933,0.85206103,1.0,1.0,0.6011368,EBONI-04
7404,3728.0,106.28755,0.49069247,2.483383,0.84141,1.0,1.0,0.58873254,EBONI-04
7405,3728.5,106.7,0.51073205,2.487715,0.8320015,1.0,1.0,0.5920595,EBONI-04
7406,3729.0,107.66986,0.53229207,2.4892879,0.8449779,1.0,1.0,0.5995826,EBONI-04
7407,3729.5,107.37311,0.5349462,2.482472,0.8828562,1.0,1.0,0.60275906,EBONI-04
7408,3730.0,106.64728,0.50733805,2.4778666,0.924739,1.0,1.0,0.6063255,EBONI-04
7409,3730.5,105.79737,0.47601312,2.4778607,0.95918405,1.0,1.0,0.5941484,EBONI-04
7410,3731.0,104.496315,0.48394164,2.4800117,0.95843273,1.0,1.0,0.57997894,EBONI-04
